setting,model_family,method,coverage_mean,coverage_sd,coverage_error_mean,avg_length_mean,avg_length_sd,median_length_mean,max_abs_cond_error_mean,mean_abs_cond_error_mean,worst_undercoverage_mean,worst_overcoverage_mean,pi_upper_max_abs_cond_error_mean,pi_upper_mean_abs_cond_error_mean,pi_upper_worst_undercoverage_mean,pi_upper_worst_overcoverage_mean,mode_entropy_max_abs_cond_error_mean,mode_entropy_mean_abs_cond_error_mean,mode_entropy_worst_undercoverage_mean,mode_entropy_worst_overcoverage_mean,mode_margin_max_abs_cond_error_mean,mode_margin_mean_abs_cond_error_mean,mode_margin_worst_undercoverage_mean,mode_margin_worst_overcoverage_mean,mode_separation_max_abs_cond_error_mean,mode_separation_mean_abs_cond_error_mean,mode_separation_worst_undercoverage_mean,mode_separation_worst_overcoverage_mean,length_reduction_vs_abs_pct
heteroskedastic,mlp,blended normalized residual gamma=0.50,0.9024444444444444,0.0040184758488944865,0.002444444444444397,1.807667020697494,0.03334824211933263,1.7417677653679118,0.11313573785413585,0.07028814427124815,-0.11313573785413585,0.09999999999999998,,,,,,,,,,,,,,,,,9.073677848904973
heteroskedastic,mlp,locally normalized residual,0.9037777777777777,0.010117824389184136,0.003777777777777769,1.8185102675055278,0.01467525230752281,1.6790189677271552,0.06453900709219855,0.02532616528236054,-0.038790912883528685,0.06453900709219855,,,,,,,,,,,,,,,,,8.528258509423589
heteroskedastic,mlp,oracle local normalization,0.9044444444444445,0.010859370420329431,0.004444444444444436,1.8390839806030652,0.013348523988988292,1.8256163116654782,0.06939924906132666,0.02443134410437287,-0.0648936170212766,0.04295900178253117,,,,,,,,,,,,,,,,,7.493393103609482
heteroskedastic,mlp,blended normalized residual gamma=0.75,0.8951111111111111,0.0061943821621183864,-0.004888888888888905,1.8702957712311488,0.05854135183969172,1.8347759271375275,0.15931088102552438,0.08294838244775667,-0.15931088102552438,0.09999999999999998,,,,,,,,,,,,,,,,,5.923428449130909
heteroskedastic,mlp,absolute residual,0.8953333333333333,0.0041633319989321975,-0.004666666666666708,1.988056899182218,0.05911224579120366,1.9880568991822185,0.2120567375886525,0.09604951264838624,-0.2120567375886525,0.09999999999999998,,,,,,,,,,,,,,,,,0.0
heteroskedastic,mlp,gmm density level set (1 comp),0.8951111111111111,0.006012333003763876,-0.004888888888888905,1.992771754239584,0.05555739114504925,1.992771754239584,0.20851063829787234,0.09671203587818106,-0.20851063829787234,0.09999999999999998,,,,,,,,,,,,,,,,,-0.23715895955016936
heteroskedastic,rf,blended normalized residual gamma=0.25,0.9086666666666666,0.001763834207376404,0.008666666666666637,1.6758819643263159,0.013586411416843575,1.6365556592564359,0.0975329009747032,0.047109549816057944,-0.08154321689991277,0.09290780141843968,,,,,,,,,,,,,,,,,14.079139168341646
heteroskedastic,rf,oracle local normalization,0.9035555555555556,0.0046825127790457045,0.003555555555555534,1.6913431044440561,0.01764923614997207,1.6791551628479164,0.03451663063678082,0.019383130428186745,-0.030124777183600737,0.02907801418439711,,,,,,,,,,,,,,,,,13.28646134458504
heteroskedastic,rf,stabilized normalized residual,0.9042222222222221,0.00509175077217317,0.004222222222222165,1.6926863061428807,0.02991457041683443,1.6412171066567407,0.07546744036105739,0.02995956119391664,-0.06755793226381464,0.06099290780141842,,,,,,,,,,,,,,,,,13.217596681864029
heteroskedastic,rf,blended normalized residual gamma=0.50,0.9082222222222223,0.0013877773329774735,0.008222222222222167,1.7157405886060928,0.01177127843593786,1.688185547246337,0.11245496264269732,0.06541107255281221,-0.10429893427390298,0.09999999999999998,,,,,,,,,,,,,,,,,12.035625733276573
heteroskedastic,rf,locally normalized residual,0.902888888888889,0.0031505437508350825,0.0028888888888888666,1.7579470484444712,0.05580409313915672,1.6860282459952496,0.0450980392156863,0.020674517389160693,-0.044385026737967924,0.032500853339401524,,,,,,,,,,,,,,,,,9.871741021128562
heteroskedastic,rf,blended normalized residual gamma=0.75,0.9091111111111111,0.0016777409856157065,0.00911111111111107,1.7951966127603114,0.03262203214229951,1.780390974408669,0.1255850115674897,0.07517588273220314,-0.1255850115674897,0.09999999999999998,,,,,,,,,,,,,,,,,7.961991587845667
heteroskedastic,rf,gmm density level set (1 comp),0.9071111111111111,0.004073400617738536,0.007111111111111068,1.9482902418681647,0.023113271827440662,1.9482902418681647,0.17304964539007095,0.08623658360829824,-0.17304964539007095,0.09999999999999998,,,,,,,,,,,,,,,,,0.11302806846254253
heteroskedastic,rf,absolute residual,0.9071111111111111,0.004073400617738536,0.007111111111111068,1.9504948485209093,0.021262295540167942,1.9504948485209095,0.17304964539007095,0.08623658360829824,-0.17304964539007095,0.09999999999999998,,,,,,,,,,,,,,,,,0.0
homoskedastic,cqr_gbrt,absolute residual,0.8986666666666666,0.0024037008503092964,-0.0013333333333333715,0.83870449441996,0.005658819828338964,0.8387044944199601,0.001777777777777767,0.001777777777777767,-0.0013333333333333715,-0.0013333333333333715,,,,,,,,,,,,,,,,,0.0
homoskedastic,cqr_gbrt,conformalized quantile regression,0.9042222222222223,0.012950046474963088,0.004222222222222201,0.8766690812165846,0.01054482074048321,0.8787092710821273,0.010888888888888873,0.010888888888888873,0.004222222222222201,0.004222222222222201,,,,,,,,,,,,,,,,,-4.526574860300536
homoskedastic,krr,gmm density level set (1 comp),0.9062222222222222,0.017260530870338922,0.006222222222222203,1.3433416736168624,0.04289641706307551,1.3433416736168624,0.015111111111111075,0.015111111111111075,0.006222222222222203,0.006222222222222203,,,,,,,,,,,,,,,,,0.07260010850156905
homoskedastic,krr,absolute residual,0.9062222222222222,0.017260530870338922,0.006222222222222203,1.3443176496891425,0.0411923473742974,1.3443176496891425,0.015111111111111075,0.015111111111111075,0.006222222222222203,0.006222222222222203,,,,,,,,,,,,,,,,,0.0
homoskedastic,krr,oracle local normalization,0.9062222222222222,0.017260530870338922,0.006222222222222203,1.3443176496891425,0.0411923473742974,1.3443176496891425,0.015111111111111075,0.015111111111111075,0.006222222222222203,0.006222222222222203,,,,,,,,,,,,,,,,,0.0
homoskedastic,krr,blended normalized residual gamma=0.75,0.902,0.015677301355073097,0.0020000000000000018,1.4496226540493924,0.05034162305339457,1.3828691572366167,0.010888888888888873,0.010888888888888873,0.0020000000000000018,0.0020000000000000018,,,,,,,,,,,,,,,,,-7.833342393786205
homoskedastic,krr,blended normalized residual gamma=0.50,0.8997777777777779,0.015207210765267213,-0.00022222222222223476,1.7848852552185033,0.034546245764102784,1.6308693161183119,0.011777777777777776,0.011777777777777776,-0.00022222222222223476,-0.00022222222222223476,,,,,,,,,,,,,,,,,-32.77258210745332
homoskedastic,krr,blended normalized residual gamma=0.25,0.9004444444444445,0.0061943821621184446,0.0004444444444443955,2.521498001138523,0.03756497762009884,2.2142378661303685,0.004444444444444473,0.004444444444444473,0.0004444444444443955,0.0004444444444443955,,,,,,,,,,,,,,,,,-87.56712758488214
homoskedastic,krr,stabilized normalized residual,0.8991111111111111,0.0027755546659548715,-0.000888888888888902,5.909564407730937,0.1716565597358006,5.00315474045052,0.001777777777777767,0.001777777777777767,-0.000888888888888902,-0.000888888888888902,,,,,,,,,,,,,,,,,-339.5958357831166
homoskedastic,krr,locally normalized residual,0.8995555555555556,0.009341266469770506,-0.0004444444444444695,40.211213255765166,4.800308907081249,31.743641785794058,0.006222222222222203,0.006222222222222203,-0.0004444444444444695,-0.0004444444444444695,,,,,,,,,,,,,,,,,-2891.1987888475264
homoskedastic,mlp,gmm density level set (1 comp),0.9066666666666667,0.011718930554164626,0.006666666666666672,0.931887684181234,0.010191994873407061,0.931887684181234,0.008000000000000007,0.008000000000000007,0.006666666666666672,0.006666666666666672,,,,,,,,,,,,,,,,,0.23061505660211049
