setting,model_family,method,coverage,coverage_error,avg_length,median_length,qhat,max_abs_cond_error,mean_abs_cond_error,worst_undercoverage,worst_overcoverage,seed,pi_upper_max_abs_cond_error,pi_upper_mean_abs_cond_error,pi_upper_worst_undercoverage,pi_upper_worst_overcoverage,mode_entropy_max_abs_cond_error,mode_entropy_mean_abs_cond_error,mode_entropy_worst_undercoverage,mode_entropy_worst_overcoverage,mode_margin_max_abs_cond_error,mode_margin_mean_abs_cond_error,mode_margin_worst_undercoverage,mode_margin_worst_overcoverage,mode_separation_max_abs_cond_error,mode_separation_mean_abs_cond_error,mode_separation_worst_undercoverage,mode_separation_worst_overcoverage
homoskedastic,cqr_gbrt,absolute residual,0.9006666666666666,0.0006666666666665932,0.8335225959471994,0.8335225959471992,0.4167612979735996,0.0006666666666665932,0.0006666666666665932,0.0006666666666665932,0.0006666666666665932,2,,,,,,,,,,,,,,,,
homoskedastic,cqr_gbrt,conformalized quantile regression,0.89,-0.010000000000000009,0.8676613490328514,0.8784427917035398,0.014040176738690697,0.010000000000000009,0.010000000000000009,-0.010000000000000009,-0.010000000000000009,2,,,,,,,,,,,,,,,,
heteroskedastic,rf,absolute residual,0.9026666666666666,0.002666666666666595,1.9666609942382607,1.9666609942382614,0.9833304971191307,0.2191489361702128,0.09422004778700648,-0.2191489361702128,0.09999999999999998,0,,,,,,,,,,,,,,,,
heteroskedastic,rf,locally normalized residual,0.904,0.0040000000000000036,1.8210879171135292,1.725072170077042,3.2510152676593553,0.04973262032085568,0.027606240755489814,-0.04973262032085568,0.030851063829787195,0,,,,,,,,,,,,,,,,
heteroskedastic,rf,stabilized normalized residual,0.9053333333333333,0.005333333333333301,1.726835430304253,1.6591687207932118,2.8384254281673424,0.07112299465240646,0.03199667197633406,-0.07112299465240646,0.06276595744680846,0,,,,,,,,,,,,,,,,
heteroskedastic,rf,blended normalized residual gamma=0.25,0.9093333333333333,0.009333333333333305,1.6915000676496663,1.6403324297697826,2.861781921164092,0.09468085106382973,0.051581522357492304,-0.08181818181818179,0.09468085106382973,0,,,,,,,,,,,,,,,,
heteroskedastic,rf,blended normalized residual gamma=0.50,0.9066666666666666,0.006666666666666599,1.7091437788261334,1.6736361702953475,2.9788857674762275,0.1127659574468085,0.07156744225736715,-0.1127659574468085,0.09999999999999998,0,,,,,,,,,,,,,,,,
heteroskedastic,rf,blended normalized residual gamma=0.75,0.9093333333333333,0.009333333333333305,1.793758436774625,1.7745459703293232,3.2236326365040022,0.1340425531914894,0.0795674991466606,-0.1340425531914894,0.09999999999999998,0,,,,,,,,,,,,,,,,
heteroskedastic,rf,oracle local normalization,0.8986666666666666,-0.0013333333333334085,1.691363871845244,1.6550698831459805,1.6997658227751264,0.028342245989304793,0.02000725338491295,-0.028342245989304793,0.025531914893616947,0,,,,,,,,,,,,,,,,
heteroskedastic,rf,gmm density level set (1 comp),0.9026666666666666,0.002666666666666595,1.9616346955795907,1.9616346955795905,3.1028938763183582,0.2191489361702128,0.09422004778700648,-0.2191489361702128,0.09999999999999998,0,,,,,,,,,,,,,,,,
